
Komşu olmayan ilçeler arasındaki mesafeler:
Aliağa (0) - Balçova (1): Tanımlı = 91 km, Hesaplanan = 76 km, Fark = 15 km
Menderes (21) - Beydağ (5): Tanımlı = 122 km, Hesaplanan = 122 km, Fark = 0 km
Menderes (21) - Bornova (6): Tanımlı = 39 km, Hesaplanan = 39 km, Fark = 0 km
Menderes (21) - Çeşme (8): Tanımlı = 120 km, Hesaplanan = 120 km, Fark = 0 km
Menderes (21) - Çiğli (9): Tanımlı = 51 km, Hesaplanan = 51 km, Fark = 0 km
Menderes (21) - Dikili (10): Tanımlı = 155 km, Hesaplanan = 151 km, Fark = 4 km
Menderes (21) - Foça (11): Tanımlı = 102 km, Hesaplanan = 99 km, Fark = 3 km
Menderes (21) - Güzelbahçe (13): Tanımlı = 62 km, Hesaplanan = 62 km, Fark = 0 km
Menderes (21) - Karaburun (15): Tanımlı = 137 km, Hesaplanan = 137 km, Fark = 0 km
Menderes (21) - Karşıyaka (16): Tanımlı = 47 km, Hesaplanan = 47 km, Fark = 0 km
Menderes (21) - Kemalpaşa (17): Tanımlı = 55 km, Hesaplanan = 55 km, Fark = 0 km
Menderes (21) - Kınık (18): Tanımlı = 160 km, Hesaplanan = 155 km, Fark = 5 km
Menderes (21) - Kiraz (19): Tanımlı = 123 km, Hesaplanan = 122 km, Fark = 1 km
Menderes (21) - Konak (20): Tanımlı = 41 km, Hesaplanan = 41 km, Fark = 0 km
Menderes (21) - Menemen (22): Tanımlı = 70 km, Hesaplanan = 66 km, Fark = 4 km
Menderes (21) - Narlıdere (23): Tanımlı = 51 km, Hesaplanan = 51 km, Fark = 0 km
Menderes (21) - Ödemiş (24): Tanımlı = 94 km, Hesaplanan = 94 km, Fark = 0 km
Menderes (21) - Tire (27): Tanımlı = 72 km, Hesaplanan = 72 km, Fark = 0 km
Menderes (21) - Urla (29): Tanımlı = 74 km, Hesaplanan = 74 km, Fark = 0 km
Menemen (22) - Balçova (1): Tanımlı = 65 km, Hesaplanan = 50 km, Fark = 15 km
Menemen (22) - Bayındır (2): Tanımlı = 99 km, Hesaplanan = 95 km, Fark = 4 km
Menemen (22) - Bayraklı (3): Tanımlı = 29 km, Hesaplanan = 26 km, Fark = 3 km
Menemen (22) - Bergama (4): Tanımlı = 73 km, Hesaplanan = 73 km, Fark = 0 km
Menemen (22) - Beydağ (5): Tanımlı = 162 km, Hesaplanan = 159 km, Fark = 3 km
Menemen (22) - Buca (7): Tanımlı = 51 km, Hesaplanan = 43 km, Fark = 8 km
Menemen (22) - Çeşme (8): Tanımlı = 139 km, Hesaplanan = 124 km, Fark = 15 km
Menemen (22) - Dikili (10): Tanımlı = 85 km, Hesaplanan = 85 km, Fark = 0 km
Menemen (22) - Gaziemir (12): Tanımlı = 54 km, Hesaplanan = 40 km, Fark = 14 km
Menemen (22) - Güzelbahçe (13): Tanımlı = 81 km, Hesaplanan = 67 km, Fark = 14 km
Menemen (22) - Karabağlar (14): Tanımlı = 57 km, Hesaplanan = 36 km, Fark = 21 km
Menemen (22) - Karaburun (15): Tanımlı = 156 km, Hesaplanan = 141 km, Fark = 15 km
Menemen (22) - Kemalpaşa (17): Tanımlı = 53 km, Hesaplanan = 50 km, Fark = 3 km
Menemen (22) - Kınık (18): Tanımlı = 90 km, Hesaplanan = 90 km, Fark = 0 km
Menemen (22) - Kiraz (19): Tanımlı = 163 km, Hesaplanan = 159 km, Fark = 4 km
Menemen (22) - Konak (20): Tanımlı = 38 km, Hesaplanan = 34 km, Fark = 4 km
Menemen (22) - Menderes (21): Tanımlı = 70 km, Hesaplanan = 66 km, Fark = 4 km
Menemen (22) - Narlıdere (23): Tanımlı = 70 km, Hesaplanan = 55 km, Fark = 15 km
Menemen (22) - Ödemiş (24): Tanımlı = 134 km, Hesaplanan = 131 km, Fark = 3 km
Menemen (22) - Seferihisar (25): Tanımlı = 101 km, Hesaplanan = 86 km, Fark = 15 km
Menemen (22) - Selçuk (26): Tanımlı = 103 km, Hesaplanan = 99 km, Fark = 4 km
Menemen (22) - Tire (27): Tanımlı = 112 km, Hesaplanan = 108 km, Fark = 4 km
Menemen (22) - Torbalı (28): Tanımlı = 74 km, Hesaplanan = 70 km, Fark = 4 km
Menemen (22) - Urla (29): Tanımlı = 93 km, Hesaplanan = 78 km, Fark = 15 km
Narlıdere (23) - Aliağa (0): Tanımlı = 96 km, Hesaplanan = 81 km, Fark = 15 km
Narlıdere (23) - Bayındır (2): Tanımlı = 80 km, Hesaplanan = 79 km, Fark = 1 km
Narlıdere (23) - Bayraklı (3): Tanımlı = 42 km, Hesaplanan = 29 km, Fark = 13 km
Narlıdere (23) - Bergama (4): Tanımlı = 143 km, Hesaplanan = 128 km, Fark = 15 km
Narlıdere (23) - Beydağ (5): Tanımlı = 143 km, Hesaplanan = 143 km, Fark = 0 km
Narlıdere (23) - Bornova (6): Tanımlı = 39 km, Hesaplanan = 34 km, Fark = 5 km
Narlıdere (23) - Buca (7): Tanımlı = 19 km, Hesaplanan = 19 km, Fark = 0 km
Narlıdere (23) - Çeşme (8): Tanımlı = 71 km, Hesaplanan = 71 km, Fark = 0 km
Narlıdere (23) - Çiğli (9): Tanımlı = 51 km, Hesaplanan = 40 km, Fark = 11 km
Narlıdere (23) - Dikili (10): Tanımlı = 155 km, Hesaplanan = 140 km, Fark = 15 km
Narlıdere (23) - Foça (11): Tanımlı = 102 km, Hesaplanan = 88 km, Fark = 14 km
Narlıdere (23) - Gaziemir (12): Tanımlı = 16 km, Hesaplanan = 16 km, Fark = 0 km
Narlıdere (23) - Karaburun (15): Tanımlı = 88 km, Hesaplanan = 88 km, Fark = 0 km
Narlıdere (23) - Karşıyaka (16): Tanımlı = 47 km, Hesaplanan = 34 km, Fark = 13 km
Narlıdere (23) - Kemalpaşa (17): Tanımlı = 55 km, Hesaplanan = 52 km, Fark = 3 km
Narlıdere (23) - Kınık (18): Tanımlı = 160 km, Hesaplanan = 144 km, Fark = 16 km
Narlıdere (23) - Kiraz (19): Tanımlı = 144 km, Hesaplanan = 143 km, Fark = 1 km
Narlıdere (23) - Konak (20): Tanımlı = 22 km, Hesaplanan = 21 km, Fark = 1 km
Narlıdere (23) - Menderes (21): Tanımlı = 51 km, Hesaplanan = 51 km, Fark = 0 km
Narlıdere (23) - Menemen (22): Tanımlı = 70 km, Hesaplanan = 55 km, Fark = 15 km
Narlıdere (23) - Ödemiş (24): Tanımlı = 115 km, Hesaplanan = 115 km, Fark = 0 km
Narlıdere (23) - Seferihisar (25): Tanımlı = 33 km, Hesaplanan = 33 km, Fark = 0 km
Narlıdere (23) - Selçuk (26): Tanımlı = 84 km, Hesaplanan = 84 km, Fark = 0 km
Narlıdere (23) - Tire (27): Tanımlı = 93 km, Hesaplanan = 92 km, Fark = 1 km
Narlıdere (23) - Torbalı (28): Tanımlı = 55 km, Hesaplanan = 55 km, Fark = 0 km
Narlıdere (23) - Urla (29): Tanımlı = 25 km, Hesaplanan = 25 km, Fark = 0 km
Ödemiş (24) - Aliağa (0): Tanımlı = 160 km, Hesaplanan = 157 km, Fark = 3 km
Ödemiş (24) - Balçova (1): Tanımlı = 110 km, Hesaplanan = 110 km, Fark = 0 km
Ödemiş (24) - Bayraklı (3): Tanımlı = 106 km, Hesaplanan = 106 km, Fark = 0 km
Ödemiş (24) - Bergama (4): Tanımlı = 208 km, Hesaplanan = 204 km, Fark = 4 km
Ödemiş (24) - Bornova (6): Tanımlı = 104 km, Hesaplanan = 104 km, Fark = 0 km
Ödemiş (24) - Buca (7): Tanımlı = 96 km, Hesaplanan = 96 km, Fark = 0 km
Ödemiş (24) - Çeşme (8): Tanımlı = 185 km, Hesaplanan = 184 km, Fark = 1 km
Ödemiş (24) - Çiğli (9): Tanımlı = 116 km, Hesaplanan = 116 km, Fark = 0 km
Ödemiş (24) - Dikili (10): Tanımlı = 220 km, Hesaplanan = 216 km, Fark = 4 km
Ödemiş (24) - Foça (11): Tanımlı = 166 km, Hesaplanan = 164 km, Fark = 2 km
Ödemiş (24) - Gaziemir (12): Tanımlı = 100 km, Hesaplanan = 100 km, Fark = 0 km
Ödemiş (24) - Güzelbahçe (13): Tanımlı = 127 km, Hesaplanan = 127 km, Fark = 0 km
Ödemiş (24) - Karabağlar (14): Tanımlı = 103 km, Hesaplanan = 103 km, Fark = 0 km
Ödemiş (24) - Karaburun (15): Tanımlı = 202 km, Hesaplanan = 201 km, Fark = 1 km
Ödemiş (24) - Karşıyaka (16): Tanımlı = 111 km, Hesaplanan = 111 km, Fark = 0 km
Ödemiş (24) - Kemalpaşa (17): Tanımlı = 96 km, Hesaplanan = 96 km, Fark = 0 km
Ödemiş (24) - Kınık (18): Tanımlı = 187 km, Hesaplanan = 187 km, Fark = 0 km
Ödemiş (24) - Konak (20): Tanımlı = 105 km, Hesaplanan = 105 km, Fark = 0 km
Ödemiş (24) - Menderes (21): Tanımlı = 94 km, Hesaplanan = 94 km, Fark = 0 km
Ödemiş (24) - Menemen (22): Tanımlı = 134 km, Hesaplanan = 131 km, Fark = 3 km
Ödemiş (24) - Narlıdere (23): Tanımlı = 115 km, Hesaplanan = 115 km, Fark = 0 km
Ödemiş (24) - Seferihisar (25): Tanımlı = 146 km, Hesaplanan = 146 km, Fark = 0 km
Ödemiş (24) - Selçuk (26): Tanımlı = 74 km, Hesaplanan = 74 km, Fark = 0 km
Ödemiş (24) - Torbalı (28): Tanımlı = 65 km, Hesaplanan = 65 km, Fark = 0 km
Ödemiş (24) - Urla (29): Tanımlı = 139 km, Hesaplanan = 138 km, Fark = 1 km
Seferihisar (25) - Aliağa (0): Tanımlı = 127 km, Hesaplanan = 112 km, Fark = 15 km
Seferihisar (25) - Balçova (1): Tanımlı = 36 km, Hesaplanan = 36 km, Fark = 0 km
Seferihisar (25) - Bayındır (2): Tanımlı = 111 km, Hesaplanan = 110 km, Fark = 1 km
Seferihisar (25) - Bayraklı (3): Tanımlı = 73 km, Hesaplanan = 60 km, Fark = 13 km
Seferihisar (25) - Bergama (4): Tanımlı = 174 km, Hesaplanan = 159 km, Fark = 15 km
Seferihisar (25) - Beydağ (5): Tanımlı = 174 km, Hesaplanan = 174 km, Fark = 0 km
Seferihisar (25) - Bornova (6): Tanımlı = 70 km, Hesaplanan = 65 km, Fark = 5 km
Seferihisar (25) - Buca (7): Tanımlı = 50 km, Hesaplanan = 50 km, Fark = 0 km
Seferihisar (25) - Çeşme (8): Tanımlı = 78 km, Hesaplanan = 78 km, Fark = 0 km
Seferihisar (25) - Çiğli (9): Tanımlı = 82 km, Hesaplanan = 71 km, Fark = 11 km
Seferihisar (25) - Dikili (10): Tanımlı = 186 km, Hesaplanan = 171 km, Fark = 15 km
Seferihisar (25) - Foça (11): Tanımlı = 133 km, Hesaplanan = 119 km, Fark = 14 km
Seferihisar (25) - Gaziemir (12): Tanımlı = 47 km, Hesaplanan = 47 km, Fark = 0 km
Seferihisar (25) - Karaburun (15): Tanımlı = 95 km, Hesaplanan = 95 km, Fark = 0 km
Seferihisar (25) - Karşıyaka (16): Tanımlı = 78 km, Hesaplanan = 65 km, Fark = 13 km
Seferihisar (25) - Kemalpaşa (17): Tanımlı = 86 km, Hesaplanan = 83 km, Fark = 3 km
Seferihisar (25) - Kınık (18): Tanımlı = 191 km, Hesaplanan = 175 km, Fark = 16 km
Seferihisar (25) - Kiraz (19): Tanımlı = 175 km, Hesaplanan = 174 km, Fark = 1 km
Seferihisar (25) - Konak (20): Tanımlı = 53 km, Hesaplanan = 52 km, Fark = 1 km
Seferihisar (25) - Menemen (22): Tanımlı = 101 km, Hesaplanan = 86 km, Fark = 15 km
Seferihisar (25) - Narlıdere (23): Tanımlı = 33 km, Hesaplanan = 33 km, Fark = 0 km
Seferihisar (25) - Ödemiş (24): Tanımlı = 146 km, Hesaplanan = 146 km, Fark = 0 km
Seferihisar (25) - Selçuk (26): Tanımlı = 72 km, Hesaplanan = 72 km, Fark = 0 km
Seferihisar (25) - Tire (27): Tanımlı = 124 km, Hesaplanan = 112 km, Fark = 12 km
Seferihisar (25) - Torbalı (28): Tanımlı = 86 km, Hesaplanan = 86 km, Fark = 0 km
Selçuk (26) - Aliağa (0): Tanımlı = 129 km, Hesaplanan = 125 km, Fark = 4 km
Selçuk (26) - Balçova (1): Tanımlı = 79 km, Hesaplanan = 79 km, Fark = 0 km
Selçuk (26) - Bayındır (2): Tanımlı = 58 km, Hesaplanan = 58 km, Fark = 0 km
Selçuk (26) - Bayraklı (3): Tanımlı = 75 km, Hesaplanan = 75 km, Fark = 0 km
Selçuk (26) - Bergama (4): Tanımlı = 176 km, Hesaplanan = 172 km, Fark = 4 km
Selçuk (26) - Beydağ (5): Tanımlı = 102 km, Hesaplanan = 102 km, Fark = 0 km
Selçuk (26) - Bornova (6): Tanımlı = 72 km, Hesaplanan = 72 km, Fark = 0 km
Selçuk (26) - Buca (7): Tanımlı = 65 km, Hesaplanan = 65 km, Fark = 0 km
Selçuk (26) - Çeşme (8): Tanımlı = 153 km, Hesaplanan = 150 km, Fark = 3 km
Selçuk (26) - Çiğli (9): Tanımlı = 84 km, Hesaplanan = 84 km, Fark = 0 km
Selçuk (26) - Dikili (10): Tanımlı = 188 km, Hesaplanan = 184 km, Fark = 4 km
Selçuk (26) - Foça (11): Tanımlı = 135 km, Hesaplanan = 132 km, Fark = 3 km
Selçuk (26) - Gaziemir (12): Tanımlı = 68 km, Hesaplanan = 68 km, Fark = 0 km
Selçuk (26) - Güzelbahçe (13): Tanımlı = 96 km, Hesaplanan = 92 km, Fark = 4 km
Selçuk (26) - Karabağlar (14): Tanımlı = 72 km, Hesaplanan = 72 km, Fark = 0 km
Selçuk (26) - Karaburun (15): Tanımlı = 170 km, Hesaplanan = 167 km, Fark = 3 km
Selçuk (26) - Karşıyaka (16): Tanımlı = 80 km, Hesaplanan = 80 km, Fark = 0 km
Selçuk (26) - Kemalpaşa (17): Tanımlı = 65 km, Hesaplanan = 65 km, Fark = 0 km
Selçuk (26) - Kınık (18): Tanımlı = 193 km, Hesaplanan = 188 km, Fark = 5 km
Selçuk (26) - Kiraz (19): Tanımlı = 102 km, Hesaplanan = 102 km, Fark = 0 km
Selçuk (26) - Konak (20): Tanımlı = 74 km, Hesaplanan = 74 km, Fark = 0 km
Selçuk (26) - Menemen (22): Tanımlı = 103 km, Hesaplanan = 99 km, Fark = 4 km
Selçuk (26) - Narlıdere (23): Tanımlı = 84 km, Hesaplanan = 84 km, Fark = 0 km
Selçuk (26) - Ödemiş (24): Tanımlı = 74 km, Hesaplanan = 74 km, Fark = 0 km
Selçuk (26) - Seferihisar (25): Tanımlı = 72 km, Hesaplanan = 72 km, Fark = 0 km
Selçuk (26) - Urla (29): Tanımlı = 107 km, Hesaplanan = 104 km, Fark = 3 km
Tire (27) - Aliağa (0): Tanımlı = 138 km, Hesaplanan = 134 km, Fark = 4 km
Tire (27) - Balçova (1): Tanımlı = 88 km, Hesaplanan = 87 km, Fark = 1 km
Tire (27) - Bayraklı (3): Tanımlı = 84 km, Hesaplanan = 84 km, Fark = 0 km
Tire (27) - Bergama (4): Tanımlı = 185 km, Hesaplanan = 181 km, Fark = 4 km
Tire (27) - Beydağ (5): Tanımlı = 62 km, Hesaplanan = 62 km, Fark = 0 km
Tire (27) - Bornova (6): Tanımlı = 81 km, Hesaplanan = 81 km, Fark = 0 km
Tire (27) - Buca (7): Tanımlı = 73 km, Hesaplanan = 73 km, Fark = 0 km
Tire (27) - Çeşme (8): Tanımlı = 162 km, Hesaplanan = 161 km, Fark = 1 km
Tire (27) - Çiğli (9): Tanımlı = 93 km, Hesaplanan = 93 km, Fark = 0 km
Tire (27) - Dikili (10): Tanımlı = 197 km, Hesaplanan = 193 km, Fark = 4 km
Tire (27) - Foça (11): Tanımlı = 143 km, Hesaplanan = 141 km, Fark = 2 km
Tire (27) - Gaziemir (12): Tanımlı = 77 km, Hesaplanan = 77 km, Fark = 0 km
Tire (27) - Güzelbahçe (13): Tanımlı = 104 km, Hesaplanan = 104 km, Fark = 0 km
Tire (27) - Karabağlar (14): Tanımlı = 80 km, Hesaplanan = 80 km, Fark = 0 km
Tire (27) - Karaburun (15): Tanımlı = 179 km, Hesaplanan = 178 km, Fark = 1 km
Tire (27) - Karşıyaka (16): Tanımlı = 89 km, Hesaplanan = 89 km, Fark = 0 km
Tire (27) - Kemalpaşa (17): Tanımlı = 73 km, Hesaplanan = 73 km, Fark = 0 km
Tire (27) - Kınık (18): Tanımlı = 201 km, Hesaplanan = 197 km, Fark = 4 km
Tire (27) - Kiraz (19): Tanımlı = 63 km, Hesaplanan = 62 km, Fark = 1 km
Tire (27) - Konak (20): Tanımlı = 83 km, Hesaplanan = 82 km, Fark = 1 km
Tire (27) - Menderes (21): Tanımlı = 72 km, Hesaplanan = 72 km, Fark = 0 km
Tire (27) - Menemen (22): Tanımlı = 112 km, Hesaplanan = 108 km, Fark = 4 km
Tire (27) - Narlıdere (23): Tanımlı = 93 km, Hesaplanan = 92 km, Fark = 1 km
Tire (27) - Seferihisar (25): Tanımlı = 124 km, Hesaplanan = 112 km, Fark = 12 km
Tire (27) - Urla (29): Tanımlı = 116 km, Hesaplanan = 115 km, Fark = 1 km
Torbalı (28) - Aliağa (0): Tanımlı = 100 km, Hesaplanan = 96 km, Fark = 4 km
Torbalı (28) - Balçova (1): Tanımlı = 50 km, Hesaplanan = 50 km, Fark = 0 km
Torbalı (28) - Bayraklı (3): Tanımlı = 46 km, Hesaplanan = 46 km, Fark = 0 km
Torbalı (28) - Bergama (4): Tanımlı = 147 km, Hesaplanan = 143 km, Fark = 4 km
Torbalı (28) - Beydağ (5): Tanımlı = 93 km, Hesaplanan = 93 km, Fark = 0 km
Torbalı (28) - Bornova (6): Tanımlı = 43 km, Hesaplanan = 43 km, Fark = 0 km
Torbalı (28) - Çeşme (8): Tanımlı = 124 km, Hesaplanan = 124 km, Fark = 0 km
Torbalı (28) - Çiğli (9): Tanımlı = 55 km, Hesaplanan = 55 km, Fark = 0 km
Torbalı (28) - Dikili (10): Tanımlı = 159 km, Hesaplanan = 155 km, Fark = 4 km
Torbalı (28) - Foça (11): Tanımlı = 106 km, Hesaplanan = 103 km, Fark = 3 km
Torbalı (28) - Gaziemir (12): Tanımlı = 39 km, Hesaplanan = 39 km, Fark = 0 km
Torbalı (28) - Güzelbahçe (13): Tanımlı = 66 km, Hesaplanan = 66 km, Fark = 0 km
Torbalı (28) - Karabağlar (14): Tanımlı = 43 km, Hesaplanan = 43 km, Fark = 0 km
Torbalı (28) - Karaburun (15): Tanımlı = 141 km, Hesaplanan = 141 km, Fark = 0 km
Torbalı (28) - Karşıyaka (16): Tanımlı = 51 km, Hesaplanan = 51 km, Fark = 0 km
Torbalı (28) - Kınık (18): Tanımlı = 163 km, Hesaplanan = 159 km, Fark = 4 km
Torbalı (28) - Kiraz (19): Tanımlı = 94 km, Hesaplanan = 93 km, Fark = 1 km
Torbalı (28) - Konak (20): Tanımlı = 45 km, Hesaplanan = 45 km, Fark = 0 km
Torbalı (28) - Menemen (22): Tanımlı = 74 km, Hesaplanan = 70 km, Fark = 4 km
Torbalı (28) - Narlıdere (23): Tanımlı = 55 km, Hesaplanan = 55 km, Fark = 0 km
Torbalı (28) - Ödemiş (24): Tanımlı = 65 km, Hesaplanan = 65 km, Fark = 0 km
Torbalı (28) - Seferihisar (25): Tanımlı = 86 km, Hesaplanan = 86 km, Fark = 0 km
Torbalı (28) - Urla (29): Tanımlı = 78 km, Hesaplanan = 78 km, Fark = 0 km
Urla (29) - Aliağa (0): Tanımlı = 119 km, Hesaplanan = 104 km, Fark = 15 km
Urla (29) - Balçova (1): Tanımlı = 28 km, Hesaplanan = 28 km, Fark = 0 km
Urla (29) - Bayındır (2): Tanımlı = 103 km, Hesaplanan = 102 km, Fark = 1 km
Urla (29) - Bayraklı (3): Tanımlı = 65 km, Hesaplanan = 52 km, Fark = 13 km
Urla (29) - Bergama (4): Tanımlı = 166 km, Hesaplanan = 151 km, Fark = 15 km
Urla (29) - Beydağ (5): Tanımlı = 166 km, Hesaplanan = 166 km, Fark = 0 km
Urla (29) - Bornova (6): Tanımlı = 63 km, Hesaplanan = 57 km, Fark = 6 km
Urla (29) - Buca (7): Tanımlı = 43 km, Hesaplanan = 42 km, Fark = 1 km
Urla (29) - Çiğli (9): Tanımlı = 75 km, Hesaplanan = 63 km, Fark = 12 km
Urla (29) - Dikili (10): Tanımlı = 179 km, Hesaplanan = 163 km, Fark = 16 km
Urla (29) - Foça (11): Tanımlı = 125 km, Hesaplanan = 111 km, Fark = 14 km
Urla (29) - Gaziemir (12): Tanımlı = 39 km, Hesaplanan = 39 km, Fark = 0 km
Urla (29) - Karabağlar (14): Tanımlı = 43 km, Hesaplanan = 42 km, Fark = 1 km
Urla (29) - Karşıyaka (16): Tanımlı = 70 km, Hesaplanan = 57 km, Fark = 13 km
Urla (29) - Kemalpaşa (17): Tanımlı = 78 km, Hesaplanan = 75 km, Fark = 3 km
Urla (29) - Kınık (18): Tanımlı = 183 km, Hesaplanan = 167 km, Fark = 16 km
Urla (29) - Kiraz (19): Tanımlı = 167 km, Hesaplanan = 166 km, Fark = 1 km
Urla (29) - Konak (20): Tanımlı = 45 km, Hesaplanan = 44 km, Fark = 1 km
Urla (29) - Menderes (21): Tanımlı = 74 km, Hesaplanan = 74 km, Fark = 0 km
Urla (29) - Menemen (22): Tanımlı = 93 km, Hesaplanan = 78 km, Fark = 15 km
Urla (29) - Narlıdere (23): Tanımlı = 25 km, Hesaplanan = 25 km, Fark = 0 km
Urla (29) - Ödemiş (24): Tanımlı = 139 km, Hesaplanan = 138 km, Fark = 1 km
Urla (29) - Selçuk (26): Tanımlı = 107 km, Hesaplanan = 104 km, Fark = 3 km
Urla (29) - Tire (27): Tanımlı = 116 km, Hesaplanan = 115 km, Fark = 1 km
Urla (29) - Torbalı (28): Tanımlı = 78 km, Hesaplanan = 78 km, Fark = 0 km

En küçük fark: 0 km, İlçeler:
Aliağa (0) - Çiğli (9)
Aliağa (0) - Dikili (10)
Aliağa (0) - Kınık (18)
Balçova (1) - Beydağ (5)
Balçova (1) - Buca (7)
Balçova (1) - Çeşme (8)
Balçova (1) - Gaziemir (12)
Balçova (1) - Güzelbahçe (13)
Balçova (1) - Karaburun (15)
Balçova (1) - Menderes (21)
Balçova (1) - Ödemiş (24)
Balçova (1) - Seferihisar (25)
Balçova (1) - Selçuk (26)
Balçova (1) - Torbalı (28)
Balçova (1) - Urla (29)
Bayındır (2) - Bayraklı (3)
Bayındır (2) - Beydağ (5)
Bayındır (2) - Bornova (6)
Bayındır (2) - Buca (7)
Bayındır (2) - Çiğli (9)
Bayındır (2) - Gaziemir (12)
Bayındır (2) - Güzelbahçe (13)
Bayındır (2) - Karabağlar (14)
Bayındır (2) - Karşıyaka (16)
Bayındır (2) - Kiraz (19)
Bayındır (2) - Konak (20)
Bayındır (2) - Menderes (21)
Bayındır (2) - Selçuk (26)
Bayraklı (3) - Bayındır (2)
Bayraklı (3) - Beydağ (5)
Bayraklı (3) - Çiğli (9)
Bayraklı (3) - Kemalpaşa (17)
Bayraklı (3) - Menderes (21)
Bayraklı (3) - Ödemiş (24)
Bayraklı (3) - Selçuk (26)
Bayraklı (3) - Tire (27)
Bayraklı (3) - Torbalı (28)
Bergama (4) - Çiğli (9)
Bergama (4) - Foça (11)
Bergama (4) - Menemen (22)
Beydağ (5) - Balçova (1)
Beydağ (5) - Bayındır (2)
Beydağ (5) - Bayraklı (3)
Beydağ (5) - Bornova (6)
Beydağ (5) - Buca (7)
Beydağ (5) - Çeşme (8)
Beydağ (5) - Çiğli (9)
Beydağ (5) - Gaziemir (12)
Beydağ (5) - Karabağlar (14)
Beydağ (5) - Karaburun (15)
Beydağ (5) - Karşıyaka (16)
Beydağ (5) - Kemalpaşa (17)
Beydağ (5) - Kınık (18)
Beydağ (5) - Konak (20)
Beydağ (5) - Menderes (21)
Beydağ (5) - Narlıdere (23)
Beydağ (5) - Seferihisar (25)
Beydağ (5) - Selçuk (26)
Beydağ (5) - Tire (27)
Beydağ (5) - Torbalı (28)
Beydağ (5) - Urla (29)
Bornova (6) - Bayındır (2)
Bornova (6) - Beydağ (5)
Bornova (6) - Çiğli (9)
Bornova (6) - Kiraz (19)
Bornova (6) - Menderes (21)
Bornova (6) - Ödemiş (24)
Bornova (6) - Selçuk (26)
Bornova (6) - Tire (27)
Bornova (6) - Torbalı (28)
Buca (7) - Balçova (1)
Buca (7) - Bayındır (2)
Buca (7) - Beydağ (5)
Buca (7) - Güzelbahçe (13)
Buca (7) - Kiraz (19)
Buca (7) - Menderes (21)
Buca (7) - Narlıdere (23)
Buca (7) - Ödemiş (24)
Buca (7) - Seferihisar (25)
Buca (7) - Selçuk (26)
Buca (7) - Tire (27)
Çeşme (8) - Balçova (1)
Çeşme (8) - Beydağ (5)
Çeşme (8) - Gaziemir (12)
Çeşme (8) - Güzelbahçe (13)
Çeşme (8) - Karaburun (15)
Çeşme (8) - Menderes (21)
Çeşme (8) - Narlıdere (23)
Çeşme (8) - Seferihisar (25)
Çeşme (8) - Torbalı (28)
Çiğli (9) - Aliağa (0)
Çiğli (9) - Bayındır (2)
Çiğli (9) - Bayraklı (3)
Çiğli (9) - Bergama (4)
Çiğli (9) - Beydağ (5)
Çiğli (9) - Bornova (6)
Çiğli (9) - Dikili (10)
Çiğli (9) - Foça (11)
Çiğli (9) - Kemalpaşa (17)
Çiğli (9) - Kınık (18)
Çiğli (9) - Kiraz (19)
Çiğli (9) - Konak (20)
Çiğli (9) - Menderes (21)
Çiğli (9) - Ödemiş (24)
Çiğli (9) - Selçuk (26)
Çiğli (9) - Tire (27)
Çiğli (9) - Torbalı (28)
Dikili (10) - Aliağa (0)
Dikili (10) - Çiğli (9)
Dikili (10) - Foça (11)
Dikili (10) - Kınık (18)
Dikili (10) - Menemen (22)
Foça (11) - Bergama (4)
Foça (11) - Çiğli (9)
Foça (11) - Dikili (10)
Foça (11) - Kınık (18)
Gaziemir (12) - Balçova (1)
Gaziemir (12) - Bayındır (2)
Gaziemir (12) - Beydağ (5)
Gaziemir (12) - Çeşme (8)
Gaziemir (12) - Güzelbahçe (13)
Gaziemir (12) - Karaburun (15)
Gaziemir (12) - Kiraz (19)
Gaziemir (12) - Konak (20)
Gaziemir (12) - Narlıdere (23)
Gaziemir (12) - Ödemiş (24)
Gaziemir (12) - Seferihisar (25)
Gaziemir (12) - Selçuk (26)
Gaziemir (12) - Tire (27)
Gaziemir (12) - Torbalı (28)
Gaziemir (12) - Urla (29)
Güzelbahçe (13) - Balçova (1)
Güzelbahçe (13) - Bayındır (2)
Güzelbahçe (13) - Buca (7)
Güzelbahçe (13) - Çeşme (8)
Güzelbahçe (13) - Gaziemir (12)
Güzelbahçe (13) - Karaburun (15)
Güzelbahçe (13) - Kiraz (19)
Güzelbahçe (13) - Konak (20)
Güzelbahçe (13) - Menderes (21)
Güzelbahçe (13) - Ödemiş (24)
Güzelbahçe (13) - Tire (27)
Güzelbahçe (13) - Torbalı (28)
Karabağlar (14) - Bayındır (2)
Karabağlar (14) - Beydağ (5)
Karabağlar (14) - Karşıyaka (16)
Karabağlar (14) - Kiraz (19)
Karabağlar (14) - Ödemiş (24)
Karabağlar (14) - Selçuk (26)
Karabağlar (14) - Tire (27)
Karabağlar (14) - Torbalı (28)
Karaburun (15) - Balçova (1)
Karaburun (15) - Beydağ (5)
Karaburun (15) - Çeşme (8)
Karaburun (15) - Gaziemir (12)
Karaburun (15) - Güzelbahçe (13)
Karaburun (15) - Menderes (21)
Karaburun (15) - Narlıdere (23)
Karaburun (15) - Seferihisar (25)
Karaburun (15) - Torbalı (28)
Karşıyaka (16) - Bayındır (2)
Karşıyaka (16) - Beydağ (5)
